Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
Trick 'r Treat,2007,Michael Dougherty,M,Brian Cox,M,Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank; a bitter old recluse receives an uninvited guest.
Event Horizon,1997,Paul W. S. Anderson,M,Laurence Fishburne,M,"In 2047 a group of astronauts are sent to investigate and salvage the starship 'Event Horizon' which disappeared mysteriously 7 years before on its maiden voyage. With its return, the crew of the 'Lewis and Clark' discovers the real truth behind the disappearance of the 'Event Horizon' – and something even more terrifying."
Silent Hill,2006,Christophe Gans,M,Radha Mitchell,F,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself."
In the Mouth of Madness,1994,John Carpenter,M,Sam Neill,M,"With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End."
We're All Going to the World's Fair,2021,Jane Schoenbrun,F,Anna Cobb,F,"Reality and fantasy begin to blur when teenager Casey, alone in her attic bedroom, immerses herself in a role-playing horror game online."
The Dead Don't Die,2019,Jim Jarmusch,M,Bill Murray,M,"In a small peaceful town, zombies suddenly rise to terrorize the town. Now three bespectacled police officers and a strange Scottish morgue expert must band together to defeat the undead."
Insidious: Chapter 2,2013,James Wan,M,Patrick Wilson,M,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.
Re-Animator,1985,Stuart Gordon,M,Jeffrey Combs,M,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.
Pulse,2001,Kiyoshi Kurosawa,M,Haruhiko Kato,M,"In the immense city of Tokyo, the darkness of the afterlife lurks some of its inhabitants who are desperately trying to escape the sadness and isolation of the modern world."
Ring,1998,Hideo Nakata,M,Nanako Matsushima,F,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger."
Watcher,2022,Chloe Okuno,F,Maika Monroe,F,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street."
Final Destination 3,2006,James Wong,M,Mary Elizabeth Winstead,F,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate."
The Hunt,2020,Craig Zobel,M,Betty Gilpin,F,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers."
Manhunter,1986,Michael Mann,M,William Petersen,M,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer."
Don't Look Now,1973,Nicolas Roeg,M,Julie Christie,F,"Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife."
Swallow,2019,Carlo Mirabella-Davis,M,Haley Bennett,F,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession."
Annabelle: Creation,2017,David F. Sandberg,M,Stephanie Sigman,F,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle."
Halloween II,1981,Rick Rosenthal,M,Jamie Lee Curtis,F,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim."
Midnight Mass,2021,Mike Flanagan,M,Hamish Linklater,M,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest."
Unfriended,2014,Levan Gabriadze,M,Shelley Hennig,F,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead."
Host,2020,Rob Savage,M,Haley Bishop,F,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night."
It,1990,Tommy Lee Wallace,M,Tim Curry,M,"In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown."
Funny Games,2007,Michael Haneke,M,Naomi Watts,F,"When Ann, husband George, and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive."
Resident Evil,2002,Paul W. S. Anderson,M,Milla Jovovich,F,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak."
The Boogeyman,2023,Rob Savage,M,Sophie Thatcher,F,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late."
Dawn of the Dead,2004,Zack Snyder,M,Sarah Polley,F,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies."
One Cut of the Dead,2017,Shinichiro Ueda,M,Takayuki Hamatsu,M,"Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned Second World War Japanese facility, when they are attacked by real zombies."
Saw V,2008,David Hackl,M,Tobin Bell,M,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends."
The Exorcist: Believer,2023,David Gordon Green,M,Leslie Odom Jr.,M,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago."
Final Destination 2,2003,David R. Ellis,M,A.J. Cook,M,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next."
Spiral: From the Book of Saw,2021,Darren Lynn Bousman,M,Chris Rock,M,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game."
Godzilla,1954,Ishirō Honda,M,Akira Takarada,M,"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well."
Ichi the Killer,2001,Takashi Miike,M,Tadanobu Asano,M,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of."
House of 1000 Corpses,2003,Rob Zombie,M,Sid Haig,M,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.
Color Out of Space,2019,Richard Stanley,M,Nicolas Cage,M,"The Gardner family moves to a remote farmstead in rural New England to escape the hustle of the 21st century. They are busy adapting to their new life when a meteorite crashes into their front yard, melts into the earth, and infects both the land and the properties of space-time with a strange, otherworldly colour. To their horror, the family discovers this alien force is gradually mutating every life form that it touches—including them."
Tremors,1990,Ron Underwood,M,Kevin Bacon,M,"Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground."
Happy Death Day 2U,2019,Christopher Landon,M,Jessica Rothe,F,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone."
Underwater,2020,William Eubank,M,Kristen Stewart,F,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time."
Lights Out,2016,David F. Sandberg,M,Teresa Palmer,F,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged."
Alien Resurrection,1997,Jean-Pierre Jeunet,M,Sigourney Weaver,F,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth."
The Lodge,2019,Veronika Franz,F,Riley Keough,F,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place."
Bone Tomahawk,2015,S. Craig Zahler,M,Kurt Russell,M,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. One of the villagers takes care of him in prison. One day they both disappear – only the spear of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and his nurse."
Phantom of the Paradise,1974,Brian De Palma,M,William Finley,M,"In this rock opera hybrid of Phantom of the Opera and Faust, fledgling singer-songwriter Winslow Leach finds himself double-crossed by the nefarious music producer Swan, who steals both his music and the girl Leach wants to sing it, Phoenix, for the grand opening of his rock palace, The Paradise. After Swan sends Leach to prison for trespassing, Leach endures a freak accident which leaves him disfigured and plans his revenge on both Swan and The Paradise, becoming the Phantom of the Paradise."
Tetsuo: The Iron Man,1989,Shinya Tsukamoto,M,Tomorowo Taguchi,M,"A ""metal fetishist"", driven mad by the maggots wriggling in the wound he's made to embed metal into his flesh, runs out into the night and is accidentally run down by a Japanese businessman and his girlfriend. The pair dispose of the corpse in hopes of quietly moving on with their lives. However, the businessman soon finds that he is now plagued by a vicious curse that transforms his flesh into iron."
The Pope's Exorcist,2023,Julius Avery,M,Russell Crowe,M,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden."
Hellraiser,2022,David Bruckner,M,Odessa A'zion,F,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension."
Red Dragon,2002,Brett Ratner,M,Edward Norton,M,"Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer."
1408,2007,Mikael Håfström,M,John Cusack,M,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
Un Chien Andalou,1929,Luis Buñuel,M,Simone Mareuil,F,Un Chien Andalou is a classic European avant-garde surrealist film from the cooperation of director Luis Buñuel and Salvador Dali. The film changed the way people made movies. Most famous is the scene of a woman’s eye being cut with a knife.
Dead Ringers,1988,David Cronenberg,M,Jeremy Irons,M,"Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses interest, he will give the woman over to Beverly, the meeker of the two, without the woman knowing the difference. Beverly falls hard for one of the patients, Claire, but when she inadvertently deceives him, he slips into a state of madness."
Hubie Halloween,2020,Steven Brill,M,Adam Sandler,M,"Hubie Dubois who, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween."
Invasion of the Body Snatchers,1978,Philip Kaufman,M,Donald Sutherland,M,"The first remake of the paranoid infiltration classic moves the setting for the invasion, from a small town to the city of San Francisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"", realises that he and his friends must escape or suffer the same fate. But who can he trust to help him and who has already been snatched?"
His House,2020,Remi Weekes,M,Sope Dirisu,M,"After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface."
Saw VI,2009,Kevin Greutert,M,Tobin Bell,M,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood."
In a Violent Nature,2024,Chris Nash,M,Ry Barrett,M,"The enigmatic resurrection, rampage, and retribution of an undead monster in a remote wilderness unleashes an iconic new killer after a locket is removed from a collapsed fire tower that entombed its rotting corpse."
Velvet Buzzsaw,2019,Dan Gilroy,M,Rene Russo,F,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art."
Jigsaw,2017,Michael Spierig,M,Matt Passmore,M,"Dead bodies begin to turn up all over the city, each meeting their demise in a variety of grisly ways. All investigations begin to point the finger at deceased killer John Kramer."
Lake Mungo,2008,Joel Anderson,M,Rosie Traynor,F,"After 16-year-old Alice Palmer drowns in a local dam, her family experiences a series of strange, inexplicable events centred in and around their home. Unsettled, the Palmers seek the help of psychic and parapsychologist, who discovers that Alice led a secret, double life. At Lake Mungo, Alice's secret past emerges."
Wendell & Wild,2022,Henry Selick,M,Lyric Ross,F,Two demon brothers enlist the aid of Kat Elliot — a tough teen with a load of guilt — to summon them to the Land of the Living. But what Kat demands in return leads to a brilliantly bizarre and comedic adventure like no other.
The Watchers,2024,Ishana Night Shyamalan,F,Dakota Fanning,F,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
Jeepers Creepers,2001,Victor Salva,M,Gina Philips,F,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.
Crawl,2019,Alexandre Aja,M,Kaya Scodelario,F,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems."
Hostel,2005,Eli Roth,M,Jay Hernandez,M,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
Goodnight Mommy,2014,Severin Fiala,M,Elias Schwarz,M,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is."
Deep Red,1975,Dario Argento,M,David Hemmings,M,"A musician witnesses the murder of a famous psychic, and then teams up with a feisty reporter to find the killer while evading attempts on their lives by the unseen killer bent on keeping a dark secret buried."
Pet Sematary,2019,Kevin Kölsch,M,Jason Clarke,M,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried."
Christine,1983,John Carpenter,M,Keith Gordon,M,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other."
The Fog,1980,John Carpenter,M,Adrienne Barbeau,F,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die."
Scanners,1981,David Cronenberg,M,Jennifer O'Neill,F,"After a man with extraordinary—and frighteningly destructive—telepathic abilities is nabbed by agents from a mysterious rogue corporation, he discovers he is far from the only possessor of such strange powers, and that some of the other “scanners” have their minds set on world domination, while others are trying to stop them."
Sleepaway Camp,1983,Robert Hiltzik,M,Felissa Rose,F,"Slightly disturbed and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival, things start to go horribly wrong for anyone with sinister or less than honorable intentions."
Krampus,2015,Michael Dougherty,M,Emjay Anthony,M,A horror comedy based on the ancient legend about a pagan creature who punishes children on Christmas.
What Ever Happened to Baby Jane?,1962,Robert Aldrich,M,Bette Davis,F,"Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge."
Carrie,2013,Kimberly Peirce,F,Chloë Grace Moretz,F,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
A Tale of Two Sisters,2003,Kim Jee-woon,M,Lim Soo-jung,F,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history."
Killer Klowns from Outer Space,1988,Stephen Chiodo,M,Grant Cramer,M,Aliens who look like clowns come from outer space and terrorize a small town.
Braindead,1992,Peter Jackson,M,Timothy Balme,M,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control."
Dracula,1931,Tod Browning,M,Bela Lugosi,M,"The one that started them all. A powerful and ruthless vampire named Count Dracula arrives in London to prey on young, socialite women. Standing in the vampire's way, is a group of concerned men and the enigmatic Dr. Abraham Van Helsing. The beginning of Universal Horror in the sound era."
Tucker and Dale vs. Evil,2010,Eli Craig,M,Alan Tudyk,M,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair."
Friday the 13th Part 2,1981,Steve Miner,M,Amy Steel,F,"Five years after the horrible bloodbath at Camp Crystal Lake, it seems Jason Voorhees and his demented mother are in the past. Paul opens up a new camp close to the infamous site, ignoring warnings to stay away, and a sexually-charged group of counselors follow -- including child psychologist major Ginny. But Jason has been hiding out all this time, and now he's ready for revenge."
Annabelle Comes Home,2019,Gary Dauberman,M,Vera Farmiga,F,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends."
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,Jack Sholder,M,Robert Englund,M,"A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear."
Haunted Mansion,2023,Justin Simien,M,LaKeith Stanfield,M,A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,M,Patricia Arquette,F,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide."
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,M,Tom Atkins,M,"Dr. Daniel Challis and Ellie Grimbridge stumble onto a gruesome murder scheme when Ellie's novelty-salesman father, Harry, is killed while in possession of a halloween mask made by the Silver Shamrock mask company. The company's owner, Conal Cochran, wants to return Halloween to its darker roots using his masks -- and his unspeakable scheme would unleash death and destruction across the country."
Onibaba,1964,Kaneto Shindō,M,Nobuko Otowa,F,"While her son, Kichi, is away at war, a woman and her daughter-in-law survive by killing samurai who stray into their swamp, then selling whatever valuables they find. Both are devastated when they learn that Kichi has died, but his wife soon begins an affair with a neighbor who survived the war, Hachi. The mother disapproves and, when she can't steal Hachi for herself, tries to scare her daughter-in-law with a mysterious mask from a dead samurai."
The Strange Thing About the Johnsons,2011,Ari Aster,M,Billy Mayo,M,A dark domestic melodrama/satire about the ties that bind and the ties that really bind.
Incantation,2022,Kevin Ko,M,Hsuan-yen Tsai,F,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse."
Creep 2,2017,Patrick Brice,M,Mark Duplass,M,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape."
Blade II,2002,Guillermo del Toro,M,Wesley Snipes,M,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires."
In the Tall Grass,2019,Vincenzo Natali,M,Laysla De Oliveira,F,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth."
Marrowbone,2017,Sergio G. Sánchez,M,George MacKay,M,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.
Brightburn,2019,David Yarovesky,M,Jackson A. Dunn,M,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?"
Repulsion,1965,Roman Polanski,M,Catherine Deneuve,F,"In Roman Polanski's first English-language film, beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness."
The Purge: Anarchy,2014,James DeMonaco,M,Frank Grillo,M,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night."
Saw 3D,2010,Kevin Greutert,M,Tobin Bell,M,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror."
Bride of Frankenstein,1935,James Whale,M,Boris Karloff,M,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman."
Nosferatu the Vampyre,1979,Werner Herzog,M,Klaus Kinski,M,"Jonathan Harker, a real estate agent, goes to Transylvania to visit the mysterious Count Dracula and formalize the purchase of a property in Wismar. Once Jonathan is caught under his evil spell, Dracula travels to Wismar where he meets the beautiful Lucy, Jonathan's wife, while a plague spreads through the town, now ruled by death."
The Babysitter: Killer Queen,2020,McG,M,Judah Lewis,M,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil."
Willy's Wonderland,2021,Kevin Lewis,M,Nicolas Cage,M,"When his car breaks down, a quiet loner agrees to clean an abandoned family fun center in exchange for repairs. He soon finds himself waging war against possessed animatronic mascots while trapped inside Willy's Wonderland."
Freddy vs. Jason,2003,Ronny Yu,M,Robert Englund,M,"In an attempt to free himself from a state of forgotten limbo, evil dream-demon Freddy Krueger (Robert Englund) devises a plan to manipulate un-dead mass murderer Jason Voorhees (Ken Kirzenger) into slicing-and-dicing his way through the teenage population of Springwood.  But when the master of dreams loses control of his monster, a brutal fight to the death is the only way out in this long anticipated crossover between two of modern horror's most notorious killers!"
Under Paris,2024,Xavier Gens,M,Bérénice Bejo,F,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine."
The Shallows,2016,Jaume Collet-Serra,M,Blake Lively,F,"When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude."
Oculus,2013,Mike Flanagan,M,Karen Gillan,F,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.
Diabolique,1955,Henri-Georges Clouzot,M,Véra Clouzot,F,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears."
Van Helsing,2004,Stephen Sommers,M,Hugh Jackman,M,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.
Pet Sematary,1989,Mary Lambert,F,Dale Midkiff,M,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable."
28 Weeks Later,2007,Juan Carlos Fresnadillo,M,Robert Carlyle,M,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims."
The Empty Man,2020,David Prior,M,James Badge Dale,M,"After a group of teens from a small Midwestern town begin to mysteriously disappear, the locals believe it is the work of an urban legend known as The Empty Man. As a retired cop investigates and struggles to make sense of the stories, he discovers a horrific secret that puts his life—and the lives of those close to him—in grave danger."
Thirst,2009,Park Chan-wook,M,Song Kang-ho,M,"Sang-hyun, a respected priest, volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life as a vampire. Now, Sang-hyun is torn between faith and bloodlust, and has a newfound desire for Tae-ju, the wife of his childhood friend."
The Happening,2008,M. Night Shyamalan,M,Mark Wahlberg,M,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore and his wife Alma flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister?"
Death Note,2017,Adam Wingard,M,Nat Wolff,M,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror."
Black Mirror: Beyond the Sea,2023,John Crowley,M,Aaron Paul,M,"In an alternative 1969, two men on a perilous high-tech mission wrestle with the consequences of an unimaginable tragedy."
